string,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
Uus mäng,"Kes, mis","Kelle, mille",Kus kohas,"Keda, mida","Kellest, millest",Kellele millele,Kuhu,mitmus
Seadistused,Korog,Korogi,Korogis,Korogit,Korogist,Korogile,,
"Teisele mängijale asjade, raha ja maade saatmine on",Andres,Andrese,Andreses,Andrest,Andresest,Andresele,,
VÕIMALIK,Ian,Iani,Iannis,Iani,Ianist,Ianile,,
VÕIMATU,Joss,Jossi,Jossis,Jossi,Jossist,Jossile,,
Pane saatmine lubatuks,Mihkel,Mihkli,Mihklis,Mihklit,Mihklist,Mihklile,,
Pane saatmine keelatuks,Viivika,Viivika,Viivikas,Viivikat,Viivikast,Viivikale,,
Uus,,,,,,,,
2 Mängijat,,,,,,,,
3 Mängijat,Pood,Poe,Poes,Poodi,,,Poodi,
4 Mängijat,Sepikoda,Sepikoja,Sepikojas,Sepikoda,,,Sepikotta,
Keel:,Turg,Turu,Turul,Turgu,,,Turgu,
Inglise,Raamatukogu,Raamatukogu,Raamatukogus,Raamatukogu,,,Raamatukokku,
Eesti,Maagide Gild,Maagide Gildi,Maagide Gildis,Maagide Gildi,,,Maagide Gildi,
Muuda keelt,Palgasõdurite laager,Palgasõdurite laagri,Palgasõdurite laagris,Palgasõdurite laagrit,,,Palgasõdurite laagrisse,
Lahing lõppeb öö saabudes.,Treeninglaager,Treeninglaagri,Treeninglaagris,Treeninglaagrit,,,Treeninglaagrisse,
Liigu edasi,Puhkemaja,Puhkemaja,Puhkemajas,Puhkemaja,,,Puhkemajja,
Osta maa,Koobas,Koopa,Koopas,Koobast,,,Koopasse,
Valluta maa,Aarete Saar,Aarete Saare,Aarete Saarel,Aarete Saart,,,Aarete Saarele,
Tõsta sissetulekut,Katakombid,Katakombide,Katakombides,Katakombe,,,Katakombidesse,
Uus tugevam kaitsja,Varaste Gild,Varaste Gildi,Varaste Gildis,Varaste Gildi,,,Varaste Gildi,
Palka,Röövlite Gild,Röövlite Gildi,Röövlite Gildis,Röövlite Gildi,,,Röövlite Gildi,
Kaasas olevad asjad,Maagi Torn,Maagi Torni,Maagi Tornis,Maagi Torni,,,Maagi Torni,Maagi Tornid
Nõidused,Org,Oru,Orus,Orgu,,,Orgu,Orud
